Cluster 01,Cluster 02,Cluster 03,Cluster 04,Cluster 05,Cluster 06,Cluster 07,Cluster 08,Cluster 09,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
,'01942','01507','04995','02849','01949','04741','02027','02033','03479','03235',,,,'02608',,'04588',,,
,'01956','01525',,'02872','01954','04766','02038','02039','03482','03243',,,,'02624',,'04590',,,
,'01962','01530',,'02874','01975','04767','02059','02040','03535','03253',,,,'02626',,'04599',,,
,'01965','01545',,'02919','01976','04898','02061','02049','03550','03255',,,,'02650',,'04653',,,
,'01980','01546',,'02961','01979','04979','02088','02052','03594','03261',,,,'02687',,'04660',,,
,'01997','01552',,'02975','01985',,'02093','02055','03614','03266',,,,'02703',,'04673',,,
,'02006','01556',,'02976','01988',,'02094','02058','03657','03276',,,,'02710',,'04744',,,
,'02007','01558',,'02979','01996',,'02099','02077','03668','03277',,,,'02711',,'04761',,,
,'02020','01562',,'02986','02004',,'02125','02080','03680','03312',,,,'02712',,'04788',,,
,'02021','01572',,'02994','02008',,'02135','02087','03692','03325',,,,'02722',,'04823',,,
,'02024','01577',,'02999','02009',,'02140','02100','03722','03326',,,,'02726',,'04860',,,
,'02053','01581',,'03005','02010',,'02143','02104','03749','03368',,,,'02735',,'04882',,,
,'02068','01588',,'03006','02023',,'02161','02153','03755','03405',,,,'02738',,'04889',,,
,'02103','01605',,'03015','02044',,'02183','02158','03801','03509',,,,'02742',,'04902',,,
,'02109','01610',,'03017','02047',,'02187','02170','03803','03532',,,,'02754',,'04921',,,
,'02120','01621',,'03049','02050',,'02190','02171','03836','03557',,,,'02761',,'04927',,,
,'02124','01625',,'03056','02069',,'02216','02209','03873','03569',,,,'02770',,'04944',,,
,'02138','01631',,'03074','02092',,'02220','02224','03880','03599',,,,'02818',,'04974',,,
,'02145','01638',,'03099','02105',,'02222','02228','03884','03608',,,,'02846',,,,,
,'02148','01641',,'03113','02115',,'02241','02248','03906','03610',,,,'02856',,,,,
,'02152','01663',,'03117','02118',,'02253','02258','03911','03656',,,,'02861',,,,,
,'02175','01668',,'03134','02122',,'02265','02261','03916','03659',,,,'02869',,,,,
,'02176','01673',,'03142','02126',,'02293','02269','03996','03662',,,,'02878',,,,,
